image,text,
10711,A man with a bat was ready to hit the ball. There were some spectators at the side of the pitch.,
10719,An oncoming blue and yellow train next to a fence. ,
10818,A small group of people on cross country skis.,
10867,a yellow and red fire hydrant is on a curb,
10936,The cars are parked next to where the cattle are walking.,
11107,A man is ready to swing a bat on a baseball field. Two men behind him are crouching down to catch the ball,
11182,People walking outside of a red brick building.,
11258,two people standing in front of a motorcycle ,
11260,A train traveling from the tracks  onto a bridge.,
11265,A large tower clock atop a bridge on a city street.,
11272,A group of people are looking at a train and peering over a fence.,
11276,A large pot of water and pasta sits on top of a stove.,
11288,A professional baseball play swings a bat during a game.,
11300,A child sits on the ground next to a skateboard.,
11519,The small horse is pulling a two wheeled cart.,
11552,a bear walking in the woods next to some trees,
11613,Skiers are racing in a cross country competition. ,
11618,Many empty carts are near a large jumbo jet.,
11690,A motorcyclist and a car stopped at an intersection.,
11791,Four people posing in front of an elephant with the trunk up,
11802,"The children were dragging the sheep by the head, and a man was herding the sheep.",
11856,Two women sitting on a metal bench next to a large sign.,
11926,"A group of zebras standing on the grassland, with a tall tree in front of them.",
11948,Zebras are divided into two areas.,
12093,two people are riding elephants down the street,
12313,Two children are playing in the snow together.,
12321,A red stop sign sitting by the side of a road.,
12349,A half eaten dough nut sitting next to an ice coffee.,
12382,An adult and baby zebra standing in the woods near a log.,
12408,A white duck boat is drifting in the water. ,
12459,"The skiers all gather together, one in a cow suit.",
12509,Two men were walking on the beach with surfboards and a bridge in the distance.,
12544,A bus traveling down the street next to a bunch of cars.,
12547,There were many people in the street and some birds on the ground,
12620,A group of giraffes stand about an enclosed area.,
12818,An aerial view of a gas station with a lot of cabs.,
12881,A man stands at home plate preparing to bat.,
12891,A railroad train traveling along a flower lined street,
12897,There was a big crowd and a lot of luggage at the escalator.,
12938,A young man riding a skateboard down a sidewalk.,
12946,A man rides a motorcycle on the sidewalk.,
13081,A man and a young boy working on laptop computers.,
13127,An locomotive blowing out a cloud of steam.,
13132,a couple of men that are standing in some water next to a bench,
13159,Sign pointing to red fire hydrant in a rural area,
13182,A woman riding a horse through tree filled forest.,
13279,A mail truck driving down a snowy road.,
13318,"There were a lot of people on the street, and a sign that said ""police"" pointed to the left.",
13333,A stop sign is standing in front of a view of a mountain range. ,
13372,a bunch of boats are parked at a dock,
13420,many small boats at harbor in a body of water,
13489,A car and bus are driving down the street.,
13550,A woman in patterned shirt playing with an elephant.,
13670,A girl in a green shirt and striped green socks playing softball.,
13719,A small child with a blue umbrella looked up at his mother,
13763,An elephant holding the tail of the elephant in front.,
13797,The man is giving a speech surrounded by peers. ,
13909,A man stands in the snow next to a snow-covered car.,
13944,A street scene with workers fixing the traffic light. ,
14175,A woman walks past street posters and graffiti. ,
14219,The people at the station are waiting for a train.,
14271,a giraffe kneeling on the ground while a baby giraffe stands beside it,
14297,A house boat along the water has bicycles on deck.,
14543,a number of people with snow boards on a snowy surface,
14677,Three Skiers move on a slope in front of a forest.,
14686,Two adult and three young giraffe stand at a feeder.,
14928,A baby looks toward a sheep in a field.,
15472,Five baseball players on the field during a game,
15843,the batter misses the ball and the catcher catches it,
15846,Two boys playing frisbee at park near bench.,
15850,There are meat and vegetables on the cutting board,
15895,A silver passenger train can be seen making its way down the track.,
15976,People standing at a bus stop about to board a bus.,
16025,A bookshelf with a tv that has a cat sleeping on it.,
16060,some people are walking under umbrellas in the rain,
16346,People riding on motorcycles on a city street.,
16355,The dog jumps over a man to catch a Frisbee. ,
16412,People walking and cars travelling in the rain.,
16418,"A large passenger airplane stands at the gate, near cargo vehicles.",
16499,A red and white train traveling along a mountain road.,
16547,A referee holds onto the catcher as he catches a low ball.,
16672,Small cars are driving around a small intersection.,
16673,A tall giraffe standing next to a rock mound.,
16677,A dog sitting with a flock of sheep on a hill.,
16964,white and orange trains on a railroad passing through a city,
16977,A car that seems to be parked illegally behind a legally parked car,
17057,a big truck that is parked at a stop light,
17311,A cop that is on top of a horse.,
17468,Children sitting on the floor reading papers and one reading a phone.,
17474,A group of people in a city walking around with umbrellas.,
17520,two people walking on a path near a body of water,
17708,A gull on a rocky ledge overlooks three boats on a very blue waterway. ,
17927,A group of five people holding racquets on a tennis court.,
17938,A group of skateboarders skating down a empty sidewalk.,
18270,A soldier was kicking a football in the crowd.,
18464,Father and son riding skateboards on the sidewalk along a waterway. ,
18723,a large field of flowers with a clock tower in it,
18866,Some people in hats stopped their motorcycles and waited at the traffic lights.,
19435,A train traveling down tracks near power poles.,
19448,A woman looks into a refrigerator that is mounted on a wall.,
19499,Several cyclists stopped and looked at an overturned car.,
19523,People attaching their bikes to the front of a bus.,
19712,A man taking a photo of the sky amongst his happy family,
19755,A baby cow with a red ear tag.,
19769,An elephant is painting a picture while a man stand next to him.,
20184,Two skiers are on the slopes together one guiding the other. ,
20193,A zebra attempts to mount another in an enclosure,
20308,That train is filled with people and it has no enclosure.,
20334,A close view of someone's shoes while on a snow board.,
20644,A baseball game is being played on a field.,
20774,A group of women with umbrellas and a couple without umbrellas outside in the rain.,
20839,"A street with many traffic lights, cars and buildings around.",
20935,"In public Spaces, many people sit at tables",
20971,People next to flag flying various colored kites.,
21029,A young man swings a baseball at a game with two spectators behind him.,
21222,A row of parked buses in a parking lot.,
21248,A couple walking their big dogs on city streets at dusk in Summer,
21285,A man riding skis down a snow covered slope.,
21400,A man and a woman walking towards a food vendor that is across the street.,
21645,A couch and a chair in a small living room.,
21780,A batter holds his bat as he walks up to the plate,
21983,A man in a yellow shirt is running with the rugby ball.,
22032,a service truck charging the battery on a car,
22154,a man holding a colorful umbrella on top of a car.,
22281,A man and his three dogs are on the beach,
22326,A dog and a cat lay in the bed next to a sleeping person.,
22487,A line of motorcyclists and a band are both in formation in front of a building undergoing construction.,
22575,A man is standing near a car with some luggage while another stands near by.,
22680,A man with a green tie has his arms around the shoulders of two boys.,
22907,The bird is on top of a bird feeder,
22979,A lady in a very funny hat near a big red bus.,
23140,a batter holding onto his bat waiting for the pitch ,
23603,A boy tries to make a goal in a game of soccer.,
24112,A man looking into the camera lens while sitting at a table.,
24259,A girl rides her bike down a busy street.,
24375,A person on a snowboard performs a jump.,
24571,a man in white holding a bat on the field playing,
24714,a person sitting on a street curb with boxes of fruit near by,
25358,Young children played football in the game as adults looked on  ,
25996,The child sat on an air mattress surrounded by a circle of people ,
26209,The man is working on the green dirt bike. ,
26413,A baseball player standing at home base with a bat.,
26504,"One man held a dead blue bird, another a shotgun  ",
26734,A woman was walking two dogs with a suitcase and the man was leading the little girl ,
27158,A baseball player swings his bat at the ball.,
27578,A woman holds a birthday cake as a man lights the candles while another man looks on.,
27611,"Men on skateboards on the road, talking to women on motorcycles",
28676,People were playing games on the lawn. A man jumped up in the air to catch a Frisbee.,
28766,A glass swan sitting on a table next to a blue vase filled with flowers.,
30838,A woman lifting a child onto a ski lift.,
31017,The two men smile for the camera while holding skateboards.,
32206,A soccer player laying on the field being attended by his coaches.,
32270,A baseball player sliding into home base. ,
33631,A man opening a book on a bench next to a man sleeping. ,
33861,A little boy running with a kite in a city park.,
34246,"A parade of horses walked down the street, past cars and motorbikes.",
34475,A waitress was carrying a table with some food on it,
34866,A cyclist was changing on the side of the road with a bus behind him.,
35589,a baseball player is up to bat at a game,
36041,"A couple is sitting on a motorcycle looking at the sky, with two people in front of them going to fly a kite",
36123,"In the classroom, a man is sitting at his desk using his laptop.",
36748,A football player hangs in midair after kicking a ball,
40286,"The biker and the cyclist, the bike had a couple of gas canisters on it",
41389,Three men with surfboards walking on the beach.,
43657,A baseball player standing next to home plate.,
43806,A man is skateboarding outside a street league building.,
43809,A baseball player swinging a bat over a base.,
44065,a woman carrying some supplies over her shoulder ,
44178,a baseball player is swinging at the pitch,
44454,"The man stood in the bedroom, where there was a big bed, covered with a floral quilt.",
44594,A beach with a lot of kites flying in the air.,
44800,a person riding a skate board on a makeshift skate park,
44816,A toilet sits next to a sink in a bathroom.,
44901,A batter in a baseball game is swinging at the ball.,
44910,a blue boat is up on blocks at a dock,
44953,A photo of a clock attached to a side of a building.,
44998,There is a piece of paper on a computer keyboard.,
45492,Several people on a busy street with a fire engine in the background.,
45537,A living room area of a home with a TV.,
45593,Two men were walking along a city street under umbrellas when a car passed by,
45594,A white truck driving on top of a street.,
45844,Young boys with tennis rackets were playing ball in the square.,
46269,A man riding a skateboard across the street with a black car behind him.,
47367,A dog on a leash attached to a fire hydrant.,
47596,A person checking papers as people board a bus.,
47734,A young man riding a skateboard next to a metal rail.,
48034,Flags in the snow mark the route,
48101,A man waiting on a bench on a train platform.,
49080,A single skier s seen coming down the slopes.,
49097,a dog sitting on a side walk with a bike near by,
49346,A man walking beside a woman holding an umbrella,
49508,A boy wearing a blue and red uniform preparing to strike a soccer.,
49886,A man riding a skateboard down stone steps.,
50054,"The man was holding a water cup, and behind him was a cow kneeling on the grass.",
10090841,A man is sitting at a table with a beer .,
100716317,Lady in blue coat with white and brown hat standing in front of a painting .,
100845130,A group of people walking as the sun sets .,
101001624,A boy in the snow riding his bike down the street .,
101262930,A man in sunglasses puts his arm around a woman .,
101859883,A woman in a headscarf uses a telescope to look out over the city and bay .,
102268204,police questioning the driver of a black wagon at nighttime .,
102520526,A person is cleaning snow and ice off of a city sidewalk .,
102575576,A couple stands behind their wedding cake .,
107969134,A baby boy in a blue and white striped shirt is sitting on his mother 's shoulders .,
108149945,Two men in hats and orange uniforms are shoveling snow .,
110671345,The lady has a black sling bag .,
1000344755,A man on a ladder cleans the window of a tall building .,
1001545525,Two people jumped over a railing together,
1001633352,Four people are jumping from the top of a flight of stairs .,
1003163366,A man lays on the bench to which a white dog is also tied .,
1006452823,Two children sit on a small seesaw in the sand .,
1012150929,A young boy plays a video game in a McDonald 's restaurant .,
1014785440,"Two men , each with a small child on their backs , walk on a paved road .",
1019077836,A brown dog chases the water from a sprinkler on a lawn .,
1021439420,"two guys sitting on the floor , with the guy in the green jacket reading a piece of paper .",
1021442086,A man wearing a baseball cap is sitting in a car looking at a map .,
1028205764,A man and child kayak through gentle waters .,
1028982826,Two men are sitting at a bench outside the airport in front of a billboard .,
1030041880,A woman in a green skirt and white tank top singing into a microphone .,
1031973097,Toddler boy in a red hat holding on to some railings .,
1039637574,Man taking a photograph of a well dressed group of teens .,
